순위,종목명,검색비율,현재가,전일비,등락률,거래량,시가,고가,저가,PER,ROE
,,,,,,,,,,,
1.0,삼천리,4.06%,171000.0,73000.0,-29.92%,37571.0,171000.0,171000.0,171000.0,14.08,3.58
2.0,포스코퓨처엠,2.63%,336500.0,11000.0,-3.17%,1625076.0,346000.0,355000.0,334000.0,220.37,4.87
3.0,다우데이타,1.80%,17790.0,3560.0,-16.67%,31855744.0,15000.0,18750.0,15000.0,3.34,19.81
4.0,서울가스,1.73%,161000.0,68500.0,-29.85%,15935.0,161000.0,161000.0,161000.0,45.53,1.7
5.0,세방,1.65%,16620.0,4530.0,-21.42%,18478935.0,14850.0,17750.0,14850.0,3.63,11.12
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
6.0,현대모비스,1.60%,223000.0,14500.0,-6.11%,511969.0,237000.0,237500.0,218000.0,8.48,6.8
7.0,대성홀딩스,1.53%,44700.0,19100.0,-29.94%,48398.0,44700.0,44700.0,44700.0,198.67,0.76
8.0,에코프로,1.39%,603000.0,6000.0,+1.01%,628703.0,604000.0,618000.0,588000.0,425.25,2.94
9.0,에코프로비엠,1.36%,249500.0,4000.0,-1.58%,1272845.0,252500.0,255500.0,243000.0,102.55,24.26
10.0,POSCO홀딩스,1.12%,376500.0,3000.0,-0.79%,863477.0,377000.0,382500.0,370000.0,10.33,6.11
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
11.0,삼성전자,1.11%,63900.0,300.0,+0.47%,6566857.0,63600.0,64300.0,63300.0,7.93,17.07
12.0,현대차,1.04%,202500.0,1500.0,+0.75%,1506277.0,205500.0,207500.0,199900.0,7.62,9.36
13.0,STX,0.94%,11180.0,1380.0,+14.08%,23533728.0,10450.0,12360.0,10330.0,-23.59,-23.17
14.0,바이오니아,0.86%,51700.0,5300.0,+11.42%,2218992.0,46650.0,52700.0,45800.0,110.47,5.5
15.0,하림지주,0.85%,9570.0,350.0,-3.53%,7822963.0,9700.0,9950.0,9490.0,4.26,10.12
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
16.0,금양,0.78%,61900.0,3000.0,+5.09%,2549815.0,62400.0,66600.0,60500.0,-112.75,-24.34
17.0,엘앤에프,0.66%,266500.0,5000.0,-1.84%,529034.0,271500.0,275500.0,265500.0,35.41,28.26
18.0,현대로템,0.66%,35700.0,700.0,-1.92%,7039035.0,35600.0,36050.0,33050.0,19.7,14.06
19.0,EG,0.60%,22350.0,1550.0,-6.49%,6064889.0,25050.0,25600.0,21500.0,-78.98,-3.83
20.0,선광,0.60%,57600.0,24600.0,-29.93%,15948.0,57600.0,57600.0,57600.0,26.23,4.35
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
21.0,유니온,0.59%,10650.0,850.0,+8.67%,19515442.0,9640.0,10920.0,9100.0,-16.44,-8.03
22.0,마이크로투나노,0.58%,25950.0,750.0,+2.98%,6750190.0,25200.0,30500.0,25000.0,,25.18
23.0,두산에너빌리티,0.57%,17320.0,780.0,-4.31%,5264099.0,17740.0,17980.0,17250.0,-13.89,-11.7
24.0,SK하이닉스,0.55%,87800.0,2300.0,+2.69%,2023611.0,86400.0,88700.0,86200.0,28.66,3.56
25.0,LG에너지솔루션,0.53%,561000.0,10000.0,+1.81%,125720.0,551000.0,564000.0,550000.0,169.74,5.75
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
26.0,NAVER,0.49%,188800.0,2700.0,+1.45%,378975.0,185800.0,190900.0,185700.0,40.74,3.29
27.0,포스코DX,0.49%,14350.0,50.0,-0.35%,18395501.0,14960.0,15540.0,14070.0,47.83,11.84
28.0,마음AI,0.47%,31400.0,2050.0,+6.98%,6302765.0,29350.0,34000.0,27600.0,-40.83,-16.88
29.0,포스코스틸리온,0.47%,61800.0,8900.0,+16.82%,1662579.0,58900.0,65100.0,58500.0,16.33,6.84
30.0,한미반도체,0.45%,21700.0,1250.0,+6.11%,5313197.0,20200.0,22000.0,20150.0,23.23,25.04
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
순위,종목명,검색비율,현재가,전일비,등락률,거래량,시가,고가,저가,PER,ROE
,,,,,,,,,,,
