symb,xymd,open,high,low,clos,diff,rate,gvol
NAS@IXIC,20230426,11913.23,11967.99,11833.07,11854.35,55.19,0.47,541188237
NAS@IXIC,20230425,11968.81,11990.46,11798.77,11799.16,-238.04,-1.98,500793836
NAS@IXIC,20230424,12053.47,12103.58,11960.31,12037.2,-35.26,-0.29,496062344
NAS@IXIC,20230421,12046.03,12097.15,11986.82,12072.46,12.9,0.11,489284300
NAS@IXIC,20230420,12039.08,12155.96,12011.95,12059.56,-97.67,-0.8,462760322
NAS@IXIC,20230419,12063.68,12191.1,12060.17,12157.23,3.82,0.03,505169071
NAS@IXIC,20230418,12234.56,12245.43,12110.23,12153.41,-4.31,-0.04,493617967
NAS@IXIC,20230417,12108.23,12159.02,12064.1,12157.72,34.25,0.28,485927270
NAS@IXIC,20230414,12117.91,12205.72,12026.55,12123.47,-42.8,-0.35,467526838
NAS@IXIC,20230413,11997.42,12178.8,11995.94,12166.27,236.93,1.99,493255164
NAS@IXIC,20230412,12110.87,12134.5,11916.54,11929.34,-102.54,-0.85,497715728
NAS@IXIC,20230411,12080.24,12091.27,12011.4,12031.88,-52.48,-0.43,470178603
NAS@IXIC,20230410,11975.14,12084.95,11924.2,12084.36,-3.6,-0.03,432932654
NAS@IXIC,20230406,11939.08,12098.5,11898.36,12087.96,91.1,0.76,391545203
NAS@IXIC,20230405,12081.76,12086.75,11931.85,11996.86,-129.47,-1.07,440417423
NAS@IXIC,20230404,12208.49,12224.68,12081.81,12126.33,-63.12,-0.52,423057244
NAS@IXIC,20230403,12146.09,12196.34,12086.52,12189.45,-32.46,-0.27,483996503
NAS@IXIC,20230331,12031.54,12227.93,12030.44,12221.91,208.44,1.74,551282836
NAS@IXIC,20230330,12010.45,12044.79,11953.37,12013.47,87.23,0.73,479301979
NAS@IXIC,20230329,11855.59,11941.6,11823.35,11926.24,210.16,1.79,458107318
NAS@IXIC,20230328,11752.76,11752.76,11635.03,11716.08,-52.76,-0.45,403562468
NAS@IXIC,20230327,11868.54,11903.21,11739.05,11768.84,-55.12,-0.47,429673637
NAS@IXIC,20230324,11747.62,11826.23,11670.67,11823.96,36.56,0.31,434748582
NAS@IXIC,20230323,11811.32,11962.69,11684.52,11787.4,117.44,1.01,493217504
NAS@IXIC,20230322,11857.5,12013.99,11666.85,11669.96,-190.15,-1.6,502246032
NAS@IXIC,20230321,11764.79,11879.16,11724.91,11860.11,184.57,1.58,480651475
NAS@IXIC,20230320,11614.39,11695.55,11550.69,11675.54,45.03,0.39,501162270
