기준일,확진자수,누적확진자수,누적사망자수,사망자수,누적의심신고검사자수
2020-01-20,1,1,0,0,4
2020-01-21,0,1,0,0,15
2020-01-22,0,1,0,0,21
2020-01-23,0,1,0,0,25
2020-01-24,1,2,0,0,29
2020-01-25,0,2,0,0,47
2020-01-26,1,3,0,0,56
2020-01-27,1,4,0,0,84
2020-01-28,0,4,0,0,137
2020-01-29,0,4,0,0,208
2020-01-30,3,7,0,0,275
2020-01-31,4,11,0,0,335
2020-02-01,1,12,0,0,371
2020-02-02,3,15,0,0,429
2020-02-03,0,15,0,0,490
2020-02-04,1,16,0,0,607
2020-02-05,5,21,0,0,714
2020-02-06,3,24,0,0,885
2020-02-07,0,24,0,0,1130
2020-02-08,0,24,0,0,1701
2020-02-09,3,27,0,0,2340
2020-02-10,1,28,0,0,2776
2020-02-11,0,28,0,0,3629
2020-02-12,0,28,0,0,5074
2020-02-13,0,28,0,0,5797
2020-02-14,0,28,0,0,6854
2020-02-15,0,28,0,0,7519
2020-02-16,2,30,0,0,7919
2020-02-17,0,30,0,0,8171
2020-02-18,2,32,0,0,9265
2020-02-19,34,66,0,0,10411
2020-02-20,16,82,1,1,12161
2020-02-21,74,156,1,0,14816
2020-02-22,190,346,3,2,19621
2020-02-23,210,556,3,0,22633
2020-02-24,207,763,7,4,28615
2020-02-25,130,893,8,1,36716
2020-02-26,253,1146,11,3,46127
2020-02-27,449,1595,12,1,57990
2020-02-28,427,2022,13,1,70940
2020-02-29,909,2931,16,3,85693
2020-03-01,595,3526,17,1,96985
2020-03-02,686,4212,23,6,109591
2020-03-03,600,4812,28,5,125851
2020-03-04,516,5328,32,4,136707
2020-03-05,438,5766,35,3,146541
2020-03-06,518,6284,42,7,164740
2020-03-07,483,6767,44,2,178189
2020-03-08,367,7134,50,6,188518
2020-03-09,248,7382,51,1,196618
2020-03-10,131,7513,54,3,210144
2020-03-11,242,7755,60,6,222395
2020-03-12,114,7869,66,6,234998
2020-03-13,110,7979,67,1,248647
2020-03-14,107,8086,72,5,261335
2020-03-15,76,8162,75,3,268212
2020-03-16,74,8236,75,0,274504
2020-03-17,84,8320,81,6,286716
2020-03-18,93,8413,84,3,295647
2020-03-19,152,8565,91,7,307024
2020-03-20,87,8652,94,3,316664
2020-03-21,147,8799,102,8,327509
2020-03-22,98,8897,104,2,331780
2020-03-23,64,8961,111,7,338036
2020-03-24,76,9037,120,9,348582
2020-03-25,100,9137,126,6,357896
2020-03-26,104,9241,131,5,364942
2020-03-27,91,9332,139,8,376961
2020-03-28,146,9478,144,5,387925
2020-03-29,105,9583,152,8,394141
2020-03-30,78,9661,158,6,398902
2020-03-31,125,9786,162,4,410564
2020-04-01,101,9887,165,3,421547
2020-04-02,89,9976,169,4,431743
2020-04-03,86,10062,174,5,443273
2020-04-04,94,10156,177,3,455032
2020-04-05,81,10237,183,6,461233
2020-04-06,47,10284,186,3,466804
2020-04-07,47,10331,192,6,477304
2020-04-08,53,10384,200,8,486003
2020-04-09,39,10423,204,4,494711
2020-04-10,27,10450,208,4,503051
2020-04-11,30,10480,211,3,510479
2020-04-12,32,10512,214,3,514621
2020-04-13,25,10537,217,3,518743
2020-04-14,27,10564,222,5,527438
2020-04-15,27,10591,225,3,534552
2020-04-16,22,10613,229,4,538775
2020-04-17,22,10635,230,1,546463
2020-04-18,18,10653,232,2,554834
2020-04-19,8,10661,234,2,559109
2020-04-20,13,10674,236,2,563035
2020-04-21,9,10683,237,1,571014
2020-04-22,11,10694,238,1,577959
2020-04-23,8,10702,240,2,583971
2020-04-24,6,10708,240,0,589520
2020-04-25,10,10718,240,0,595161
2020-04-26,10,10728,242,2,598285
2020-04-27,10,10738,243,1,601660
2020-04-28,14,10752,244,1,608514
2020-04-29,9,10761,246,2,614197
2020-04-30,4,10765,247,1,619881
2020-05-01,9,10774,248,1,623069
2020-05-02,6,10780,250,2,627562
2020-05-03,13,10793,250,0,630973
2020-05-04,8,10801,252,2,633921
2020-05-05,3,10804,254,2,640237
2020-05-06,2,10806,255,1,643095
2020-05-07,4,10810,256,1,649388
2020-05-08,12,10822,256,0,654863
2020-05-09,18,10840,256,0,660030
2020-05-10,34,10874,256,0,663886
2020-05-11,35,10909,256,0,668492
2020-05-12,27,10936,258,2,680890
2020-05-13,26,10962,259,1,695920
2020-05-15,56,11018,260,1,726747
2020-05-16,19,11037,262,2,740645
2020-05-17,13,11050,262,0,747653
2020-05-18,15,11065,263,1,753211
2020-05-19,13,11078,263,0,765574
2020-05-20,32,11110,263,0,776433
2020-05-21,12,11122,264,1,788684
2020-05-22,20,11142,264,0,802418
2020-05-23,23,11165,266,2,814420
2020-05-24,25,11190,266,0,820289
2020-05-25,16,11206,267,1,826437
2020-05-26,19,11225,269,2,839475
2020-05-27,40,11265,269,0,852876
2020-05-28,79,11344,269,0,868666
2020-05-29,58,11402,269,0,885120
2020-05-30,39,11441,269,0,902901
2020-05-31,27,11468,270,1,910822
2020-06-01,35,11503,271,1,921391
2020-06-02,38,11541,272,1,939851
2020-06-03,49,11590,273,1,956852
2020-06-04,39,11629,273,0,973858
2020-06-05,39,11668,273,0,990960
2020-06-06,51,11719,273,0,1005305
2020-06-07,57,11776,273,0,1012769
2020-06-08,37,11813,273,0,1018214
2020-06-09,38,11851,274,1,1035997
2020-06-10,50,11901,276,2,1051972
2020-06-11,45,11946,276,0,1066888
2020-06-12,56,12002,277,1,1081486
2020-06-13,48,12050,277,0,1094704
2020-06-14,34,12084,277,0,1100327
2020-06-15,37,12121,277,0,1105719
2020-06-16,34,12155,278,1,1119767
2020-06-17,43,12198,279,1,1132823
2020-06-18,59,12257,280,1,1145712
2020-06-19,49,12306,280,0,1158063
