해역,연안명칭,no.,수온(℃)표층,수온(℃)저층,염분표층,염분저층,pH표층,pH저층,DO(㎎/L)표층,DO(㎎/L)저층,COD(㎎/L)표층,COD(㎎/L)저층,NH4-N(㎎/L)표층,NH4-N(㎎/L)저층,NO2-N(㎎/L)표층,NO2-N(㎎/L)저층,NO3-N(㎎/L)표층,NO3-N(㎎/L)저층,DIN( mg/L )표층,DIN( mg/L )저층,T-N( mg/L )표층,T-N( mg/L )저층,DIP( mg/L )표층,DIP( mg/L )저층,T-P( mg/L )표층,T-P( mg/L )저층,SiO2-Si( mg/L )표층,SiO2-Si( mg/L )저층,SS( mg/L )표층,SS( mg/L )저층,Chl-a(㎍/L)표층,Chl-a(㎍/L)저층,유분(㎎/L)표층,투명도(m)표층,대장균군(MPN/100ml)표층
동해,거진연안,Avg.,13.6603125,9.033175,33.561675,33.8032125,8.15625,8.15375,9.311068017,9.446003469,1.311558,1.453974,9.56725,11.1405,0.99275,1.534,51.48025,61.5205,62.04025,74.195,145.74175,176.27925,6.181625,10.63725,16.666375,22.40525,169.365,211.841,5.96875,5.991666667,0.91575,0.852175,0,9.15,0
동해,속초연안,Avg.,14.88184375,9.745025,33.527875,33.95898125,8.198125,8.180625,8.999972721,9.209838564,1.09473,1.120544,9.272375,17.581375,0.988,2.182375,31.85,64.29425,42.110375,84.058,134.64325,158.118625,4.8915625,11.953,15.147375,19.518375,109.779125,203.474125,6.607291667,4.947916667,1.2021375,0.6499625,0,9.16875,0
동해,양양연안,Avg.,14.97674375,9.19458125,33.6462125,34.0069125,8.18125,8.135,9.007499724,8.972397157,1.171016,1.359159,7.560875,13.545875,1.31025,2.26325,30.583,75.2865,39.454125,91.095625,126.02625,174.153,4.78125,14.3770625,15.30625,22.6765,120.32625,242.7075,4.405208333,4.315625,0.9395125,0.472825,0,9.925,0
동해,주문진연안,Avg.,15.244655,11.26744,33.55983,33.92199,8.128,8.168,8.72840507,9.015046943,1.154984,1.3591288,7.4578,9.7755,1.3677,1.9097,37.6441,48.5595,46.4696,60.2447,150.4412,165.7868333,5.54815,8.5448,16.73535,18.38558333,141.1844,174.5993,5.245,6.218333333,0.90573,0.9378,0,8.6885,0
동해,강릉연안,Avg.,15.61351786,8.121367857,33.57642857,33.99657857,8.132285714,8.096428571,8.684613569,9.001378052,1.099772571,1.233110286,7.493,12.7855,1.278928571,1.889071429,34.989,87.83535714,43.76092857,102.5099286,130.334,186.1005,5.102285714,16.30196429,14.86339286,24.55975,121.7034286,276.515,4.870833333,4.256547619,0.791357143,0.49305,0,9.567857143,0
동해,동해연안,Avg.,15.80589375,11.73883125,33.64684375,33.9988375,8.170625,8.15625,8.800030981,8.809799223,1.297031333,1.180517333,11.12125,13.11275,1.608,1.918375,29.605,50.765375,42.33425,65.7965,125.5415,141.689625,4.377165788,9.3825,15.054375,18.5476875,120.82575,196.321625,5.213541667,4.420833333,1.056875,0.66775,0,9.88125,0
동해,삼척연안,Avg.,16.1477875,9.8280375,33.58594375,34.02923125,8.183125,8.119375,8.717720966,8.660007688,1.099531667,1.208327667,7.6685,11.6585,1.116,2.2765,33.145375,86.406,41.929875,100.3025,141.5435,192.057125,4.106853288,16.1499375,16.79425,24.617875,130.1835,300.207375,5.72875,6.247916667,0.9991625,0.6187625,0,10.19375,0
동해,죽변연안,Avg.,16.5421625,9.954266667,33.72022917,34.07993333,8.263333333,8.174583333,8.75418369,8.273959067,1.157081333,1.093339333,4.860333333,11.04541667,1.02675,2.951,32.13358333,95.38933333,38.02066667,109.38575,124.4646667,197.2635,4.136208333,17.24345833,15.56070833,27.75016667,151.7736667,318.857,6.365277778,5.836111111,0.729891667,0.777525,0,10.51666667,0
동해,후포연안,Avg.,17.5799625,11.603775,33.574725,34.1628125,8.16,8.09,8.347576856,7.748968502,1.138099333,1.176133333,2.716,12.91675,1.87675,2.848,44.74425,92.65975,49.337,108.74475,131.34975,175.74025,6.218,16.41425,13.721375,25.41225,205.20125,338.5685,4.617291667,3.55,1.07815,0.77275,0,10.8875,0
동해,축산연안,Avg.,17.582275,7.4896,33.6056875,34.1049375,8.17625,7.98875,8.498161401,7.909749578,1.256120667,1.257392667,6.4085,12.93425,2.025,2.08,34.0635,98.93525,42.497,113.9495,126.385,214.15625,6.287320325,15.35725,14.279375,30.628,250.5875,403.3835,5.133333333,5.033333333,1.205,0.425275,0,10.7375,0
동해,강구연안,Avg.,16.761325,11.04415,33.1224125,34.1631625,8.14,8.14375,8.787236475,8.222279987,1.497058,1.348938,5.2745,12.033,1.4065,2.60875,31.43925,81.67325,38.12025,96.315,148.834,194.86075,4.485309075,15.909625,15.55425,27.872875,147.658,298.342,4.54375,4.8,1.3705,1.548425,0,9.1375,0
동해,월포연안,Avg.,16.7100625,12.9874375,33.588525,34.115825,8.1875,8.156625,8.595596023,7.917386419,1.322335333,1.133183333,4.01275,10.51925,1.30025,3.05075,24.8975,68.8285,30.2105,82.3985,121.56025,140.504,4.22025,12.78425,13.826,19.161875,133.00375,285.56825,5.2125,4.405,1.194375,1.2232,0,10.4,0
동해,영일만,Avg.,16.63999375,13.57968333,33.35554375,33.98720625,8.2225,8.164791667,8.69164643,7.915973761,1.483812667,1.306737667,18.98341667,22.435875,3.160666667,3.838875,43.0295,55.10454167,65.17358333,81.37929167,191.7404514,186.0971389,6.524020833,10.85216667,19.5009375,22.73354861,197.5984583,265.845375,5.5,5.402430556,1.552566667,1.278583333,0,7.0875,0
동해,구룡포연안,Avg.,17.576975,13.1679125,33.659025,34.0704125,8.1425,8.04625,8.309732447,7.770598537,1.184563333,1.469281333,6.4155,11.123,2.05275,3.246,35.06925,87.52225,43.5375,101.89125,125.93175,188.78475,6.03475,16.0395,17.046125,26.144625,182.284,339.97875,6.316666667,4.67,0.9196,0.804275,0,8.55,0
동해,감포연안,Avg.,17.4383125,13.1103125,33.66574375,34.12620625,8.17125,8.139375,8.153806148,7.434335275,1.170919333,1.472651333,6.825,17.472,2.897625,5.064875,45.90575,92.087625,55.628375,114.6245,146.181,203.91525,8.5265625,18.5129375,18.631,26.6445,238.848875,394.183375,5.377083333,6.505208333,0.8358125,0.750225,0,6.45625,0
남해,울산연안,Avg.,17.38087708,15.68849792,32.91543125,33.6528,8.172291667,8.161041667,7.866749995,7.47174744,1.628305333,1.344759,67.88658333,39.15693056,8.563708333,6.4385,107.2947917,90.91558333,183.7450833,136.5110139,330.3220278,227.6484167,17.15585417,16.66841667,32.67959722,27.09249306,330.5919583,343.5571667,7.364583333,8.326892007,1.689258333,1.139933333,0,3.622916667,0
남해,온산연안,Avg.,17.40066944,15.38185556,33.20786389,33.678975,8.230277778,8.208333333,8.194717503,7.737572812,1.462533333,1.272460296,27.93583333,26.0772037,6.054888889,5.691833333,87.85911111,95.55027778,121.8498333,127.3620926,232.1328333,201.0925,12.45813889,15.35088889,24.83674074,25.22912037,291.6583889,352.8011111,9.376851852,8.221296296,2.083634444,1.230855556,0,3.544444444,0
남해,기장연안,Avg.,17.99796875,15.97100625,33.66205,33.85724375,8.23125,8.184375,8.042499725,7.54657911,1.17087,1.197428,6.4365,11.444125,2.9685,4.365,40.3595,71.51775,49.7645,87.326875,139.026125,175.452375,7.317171413,12.0864375,18.735625,23.5968125,251.364375,353.679875,5.807291667,9.06875,0.9745625,0.601875,0,5.68125,0
남해,부산연안,Avg.,17.70707059,16.53550735,33.48505735,33.72335588,8.232941176,8.213161765,7.997605498,7.395213785,1.316571373,1.530514118,23.55592647,18.93379902,5.660676471,5.854539216,67.79258824,69.59035294,97.00919118,94.37869118,209.8839853,192.1344412,9.731926471,12.4950098,24.53741176,25.06942647,260.6767941,310.2064118,6.167892157,7.085539216,1.91165,1.405752941,0,4.275,0
남해,낙동강하구,Avg.,18.27729375,17.344275,31.42895625,33.16916875,8.28625,8.1825,8.222499588,6.653602408,1.502679,1.618758333,8.98925,13.04391667,3.997916667,5.527166667,58.39975,86.981375,71.38691667,105.5524583,191.2532708,175.6537708,6.9551875,14.32695833,19.19190625,22.71783333,280.54575,378.724375,7.517708333,9.773958333,2.6295,0.8885,0,5.1625,0
남해,신항연안,Avg.,16.2382,16.2474125,32.79715,32.7712625,8.19625,8.22,7.399335996,7.078315318,1.843052667,2.091796667,37.5165,28.87325,5.729916667,6.62975,57.7455,47.60725,100.9919167,83.11025,240.7679167,195.86175,13.36225,13.289,31.120125,26.30608333,337.6975,318.46525,11.53541667,12.89791667,2.6616,2.406625,0,1.2625,0
남해,행암만,Avg.,17.15418125,16.483725,32.5288625,32.84816875,8.28,8.2225,8.458214174,7.527075867,2.369583333,2.262931667,205.1665,91.23625,6.584541667,4.513958333,39.140625,24.055875,250.8916667,119.8060833,497.7398125,277.7124583,11.52608333,10.8356875,42.388625,34.73485417,360.2255,390.873875,9.947916667,10.45833333,6.847325,4.160175,0,2.89375,0
남해,마산만,Avg.,16.91155833,15.732365,31.893615,32.46047667,8.219666667,8.147666667,7.675975874,6.491434868,2.380776622,2.505108,89.14398889,99.82661111,7.661766667,6.606544444,48.0838,38.94016667,144.8895556,145.3733222,376.4312222,317.7982111,18.36120556,21.41932778,52.12805,47.34096111,346.7971333,414.1342667,10.29198413,10.71305556,5.93966,2.560643333,0,2.716666667,0
남해,진해만,Avg.,16.93511944,15.27320556,32.27929722,32.82558333,8.1975,8.110277778,8.138209342,6.628744647,1.919599407,1.83903763,32.81664815,50.51887037,4.246944444,5.612722222,35.98627778,32.753,90.57592593,98.34898148,228.2765,204.2043889,9.584935185,20.63780556,28.13450926,33.64762963,270.0407222,510.2906667,5.387037037,5.094907407,2.960043889,1.476644444,0,4.958333333,0
남해,거제도동안,Avg.,18.95244375,15.00950625,33.34963125,34.0030125,8.235,8.1675,8.242642515,7.329073331,1.244509333,1.295169333,6.071625,9.75275,2.055625,3.114375,23.95025,78.884625,32.0775,91.75175,127.196125,175.091,5.752097663,15.245125,16.2033125,25.28954167,186.0865,370.4015,6.160416667,10.675,1.4516875,2.159475,0,7.00625,0
남해,거제도남안,Avg.,17.505175,16.0190875,33.64518125,33.82374375,8.173125,8.165,7.654307543,7.28007885,1.311584333,1.334397333,11.563125,12.698,3.824,4.7375,38.873375,62.43875,54.2605,79.87425,150.492125,166.900625,10.2201875,13.66275,20.36764583,24.71216667,303.078125,357.801125,5.066666667,8.695,1.5586375,1.5609625,0,5.13125,0
남해,통영연안,Avg.,17.597975,16.68106875,33.30519375,33.50145,8.134375,8.160625,8.068684348,7.503244687,1.343653,1.353317,34.643875,18.319,4.479375,5.6645,42.93875,39.5715,82.062,63.555,217.01375,163.496875,11.635625,12.501375,25.513,25.27275,287.72675,322.277875,6.285416667,8.683333333,2.6100625,2.50751875,0,3.15625,0
남해,통영외안,Avg.,17.950075,16.10172083,33.5433875,33.75084167,8.205,8.17375,7.933956822,7.384048343,1.255089778,1.136297111,8.224416667,10.56066667,4.49575,6.7155,35.75041667,54.692,48.47058333,71.96816667,143.05375,158.19975,8.43275,12.72433333,18.29775,22.31095833,244.2555833,348.4983333,6.044444444,8.916666667,1.169333333,1.121533333,0,5.233333333,0
