해역,연안명칭,수온,수소이온농도,용존산소
동해,거진연안,13.6603125,8.15625,9.311068017
동해,속초연안,14.88184375,8.198125,8.999972721
동해,양양연안,14.97674375,8.18125,9.007499724
동해,주문진연안,15.244655,8.128,8.72840507
동해,강릉연안,15.61351786,8.132285714,8.684613569
동해,동해연안,15.80589375,8.170625,8.800030981
동해,삼척연안,16.1477875,8.183125,8.717720966
동해,죽변연안,16.5421625,8.263333333,8.75418369
동해,후포연안,17.5799625,8.16,8.347576856
동해,축산연안,17.582275,8.17625,8.498161401
동해,강구연안,16.761325,8.14,8.787236475
동해,월포연안,16.7100625,8.1875,8.595596023
동해,영일만,16.63999375,8.2225,8.69164643
동해,구룡포연안,17.576975,8.1425,8.309732447
동해,감포연안,17.4383125,8.17125,8.153806148
남해,울산연안,17.38087708,8.172291667,7.866749995
남해,온산연안,17.40066944,8.230277778,8.194717503
남해,기장연안,17.99796875,8.23125,8.042499725
남해,부산연안,17.70707059,8.232941176,7.997605498
남해,낙동강하구,18.27729375,8.28625,8.222499588
남해,신항연안,16.2382,8.19625,7.399335996
남해,행암만,17.15418125,8.28,8.458214174
남해,마산만,16.91155833,8.219666667,7.675975874
남해,진해만,16.93511944,8.1975,8.138209342
남해,거제도동안,18.95244375,8.235,8.242642515
남해,거제도남안,17.505175,8.173125,7.654307543
남해,통영연안,17.597975,8.134375,8.068684348
남해,통영외안,17.950075,8.205,7.933956822
남해,고성자란만,17.62426667,8.061666667,7.79450028
남해,사천연안,17.4588875,8.10125,7.595874918
남해,진주만,16.7360625,8.135,8.210898469
남해,남해도남안,17.347705,8.233,8.325624173
남해,광양만,17.54413125,8.131666667,7.86805963
남해,여수연안,17.22476,8.179,7.75312924
남해,가막만,16.72626,8.185,8.32311237
남해,여자만,16.30605833,8.159166667,8.006775588
남해,고흥연안,16.7867125,8.2125,8.216646463
남해,득량만,16.75423,8.197,8.495375678
제주,제주연안,17.65239167,8.174166667,8.291923936
제주,조천연안,17.54779167,8.158333333,8.099686493
제주,성산연안,18.4785625,8.16375,8.289880671
제주,표선연안,18.84235,8.19375,7.998413163
제주,서귀포연안,18.8044,8.13,8.19435338
제주,대정연안,18.41263333,8.13,8.42267791
제주,한림연안,18.23346667,8.154166667,8.50666071
남해,완도연안,16.754425,8.144,9.395198441
남해,도암만,16.48414583,8.074166667,10.34210867
남해,진도연안,15.73675,8.065625,9.833380958
서해,해남만,16.8136625,8.21,9.621709491
